attempt_id,candidate_id,benchmark,split,usable_frontier_anchor,selected_anchor,new_recovered_boundary,boundary_scope,graph_active,global_cec_status,failure_reason,schema_version
distributed_affine_divisor__active_source_counterpart__rewrite,distributed_affine_divisor__active_source_counterpart,distributed_affine_divisor,dev,true,true,true,controlled_active_source_counterpart,true,equivalent,,active_source_counterpart_refactoring_v1
shared_add_add_divisor__active_source_counterpart__rewrite,shared_add_add_divisor__active_source_counterpart,shared_add_add_divisor,dev,true,true,true,controlled_active_source_counterpart,true,equivalent,,active_source_counterpart_refactoring_v1
bilinear_divisor__active_source_counterpart__rewrite,bilinear_divisor__active_source_counterpart,bilinear_divisor,dev,true,true,true,controlled_active_source_counterpart,true,equivalent,,active_source_counterpart_refactoring_v1
mac_divisor__active_source_counterpart__rewrite,mac_divisor__active_source_counterpart,mac_divisor,dev,true,true,true,controlled_active_source_counterpart,true,equivalent,,active_source_counterpart_refactoring_v1
reordered_multi_output_divisor__active_source_counterpart__rewrite,reordered_multi_output_divisor__active_source_counterpart,reordered_multi_output_divisor,dev,true,true,true,controlled_active_source_counterpart,true,equivalent,,active_source_counterpart_refactoring_v1
boolean_obscured_divisor__active_source_counterpart__rewrite,boolean_obscured_divisor__active_source_counterpart,boolean_obscured_divisor,dev,true,true,true,controlled_active_source_counterpart,true,equivalent,,active_source_counterpart_refactoring_v1
closed_region_fails_decomposition_succeeds__active_source_counterpart__rewrite,closed_region_fails_decomposition_succeeds__active_source_counterpart,closed_region_fails_decomposition_succeeds,dev,true,true,true,controlled_active_source_counterpart,true,equivalent,,active_source_counterpart_refactoring_v1
joint_bypass_fails_decomposition_succeeds__active_source_counterpart__rewrite,joint_bypass_fails_decomposition_succeeds__active_source_counterpart,joint_bypass_fails_decomposition_succeeds,heldout,true,true,true,controlled_active_source_counterpart,true,equivalent,,active_source_counterpart_refactoring_v1
requires_residual_variable__active_source_counterpart__rewrite,requires_residual_variable__active_source_counterpart,requires_residual_variable,dev,true,true,true,controlled_active_source_counterpart,true,equivalent,,active_source_counterpart_refactoring_v1
requires_multi_output_m__active_source_counterpart__rewrite,requires_multi_output_m__active_source_counterpart,requires_multi_output_m,dev,true,true,true,controlled_active_source_counterpart,true,equivalent,,active_source_counterpart_refactoring_v1
negative_information_lost__active_source_counterpart__rewrite,negative_information_lost__active_source_counterpart,negative_information_lost,heldout,false,false,false,none,false,not_run,decomposition_disproved_for_selected_source_window,active_source_counterpart_refactoring_v1
negative_h_ignores_m__active_source_counterpart__rewrite,negative_h_ignores_m__active_source_counterpart,negative_h_ignores_m,dev,false,false,false,none,false,not_run,quotient_ignores_w,active_source_counterpart_refactoring_v1
negative_identity_divisor__active_source_counterpart__rewrite,negative_identity_divisor__active_source_counterpart,negative_identity_divisor,dev,false,false,false,none,false,not_run,identity_vacuous_refactoring,active_source_counterpart_refactoring_v1
